"key","message","comment","context"
"Address",,,
"Amount",,,
"Amount Collected",,,
"App Event",,,
"Before days",,,
"Cancelled",,,
"Capacity",,,
"City",,,
"Company",,,
"Country",,,
"Default",,,
"Description",,,
"Discount",,,
"Discount amount",,,
"Discount percent",,,
"Discounts",,,
"Don’t allows to put days which exceed duration between open and close registration dates.","Ne permet pas de mettre des jours qui dépassent la durée entre les dates d’ouverture et de fermeture des inscriptions",,
"Draft",,,
"Email",,,
"End date",,,
"England",,,
"Event",,,
"Event Management",,,
"Event Registration",,,
"Event fees",,,
"Event registrations",,,
"Event.eventDetails","Détails de l'évènement",,
"Event.registration.amount","Montante",,
"Event.registration.date","Date",,
"Event.registration.email","Courriels",,
"Events",,,
"Evn ref",,,
"File",,,
"Flat/House No.",,,
"France",,,
"Full Address",,,
"Groups Assignable",,,
"Gujarat",,,
"Import",,,
"Import Registration",,,
"Import event registration details",,,
"India",,,
"Individual",,,
"Invoice",,,
"Is send email",,,
"Jaipur",,,
"LandMark",,,
"Maharashtra",,,
"Name",,,
"Other",,,
"Paid",,,
"Please import only CSV file.","Veuillez importer uniquement le fichier CSV.",,
"Please select event.","Veuillez sélectionner un événement.",,
"Please select the event.",,,
"Primary",,,
"Print",,,
"Registration Date",,,
"Registration close",,,
"Registration close date must be before event start date.",,,
"Registration date  is not between open and close registration dates.","La date d'inscription n'est pas entre les dates d'ouverture et de fermeture.",,
"Registration date is not valid !.",,,
"Registration open",,,
"Secondary",,,
"Send Mail",,,
"Shipping",,,
"Start Date",,,
"Start date is not valid !.",,,
"Street",,,
"This event capacity is exceed.","La capacité de cet événement est dépassée.",,
"Total Discount",,,
"Total entry",,,
"Validated",,,
"Venue",,,
